name,rating,position,version,price,skills,weak_foot,work_rate,pace,shooting,passing,dribbling,defending,physicality,height,base_stats,in_game_stats
Humberto Acevedo,67,GK,Libertadores,2.4K,1,3,M \ M,66,68,64,70,23,67,"184cm | 6'0""",1,358
Felipe Román,67,"RB,RWB",Normal,300,2,3,L \ M,74,33,55,58,62,71,"183cm | 6'0""",1,353
Manuel De Luca,67,"ST,CF",Normal,500,2,4,M \ L,45,69,52,63,34,70,"190cm | 6'3""",1,333
Volodymyr Kostevych,67,"LB,LWB",Normal,350,2,3,M \ M,80,52,64,64,58,67,"174cm | 5'9""",1,385
Shayne Lavery,67,"ST,CF",Normal,300,2,3,H \ M,78,68,50,68,24,62,"182cm | 6'0""",1,350
Junio Ricardo da Rocha,67,"RB,RWB",Normal,300,3,2,M \ M,71,33,55,64,65,69,"182cm | 6'0""",0,357
Miguel Loureiro Ameijenda,67,"RB,RWB",Normal,300,3,3,M \ L,69,33,51,63,64,65,"180cm | 5'11""",1,345
Ákos Kecskés,67,CB,Normal,300,2,3,L \ M,54,33,46,43,67,74,"190cm | 6'3""",3,317
Tayeb Meziani,67,"RM,LM,RW",Normal,300,3,4,M \ M,75,62,63,68,41,63,"171cm | 5'7""",2,372
Christian Kouan Oulaï,67,"CM,CAM",Normal,300,3,3,H \ M,71,65,65,70,63,76,"178cm | 5'10""",1,410
Francisco Álvarez,67,CB,Normal,400,2,3,M \ M,62,31,43,48,68,70,"180cm | 5'11""",0,322
Axel Björnström,67,"LB,LWB",Normal,300,3,4,H \ M,79,45,59,63,61,62,"176cm | 5'9""",0,369
Valerian Gvilia,67,CM,Normal,2.6K,3,4,H \ M,64,64,68,67,54,72,"182cm | 6'0""",0,389
Giorgi Beridze,67,"LW,LM,CF",Normal,300,3,3,M \ M,76,62,61,72,28,54,"174cm | 5'9""",1,353
Sanasi Sy,67,"LWB,LB,LM",Normal,800,2,2,M \ M,67,36,55,66,64,55,"174cm | 5'9""",2,343
Montassar Talbi,67,CB,Normal,1.1K,2,3,M \ M,59,30,41,53,67,71,"190cm | 6'3""",4,321
Alessandro Vogliacco,67,CB,Normal,300,2,3,M \ H,69,35,52,53,68,67,"186cm | 6'1""",2,344
Ylldren Ibrahimaj,67,"RM,CM,RW",Normal,300,3,3,M \ M,79,60,64,67,55,69,"178cm | 5'10""",2,394
Bruno Lourenço Pinto Almeida Paz,67,"CM,RW",Normal,300,3,3,M \ M,72,56,67,69,62,71,"179cm | 5'10""",0,397
Renzo López,67,"ST,CF",Normal,750,2,2,M \ L,55,67,49,61,25,76,"192cm | 6'4""",0,333
João Nuno Figueiredo Valido,67,GK,Normal,300,1,2,M \ M,67,65,66,67,25,65,"185cm | 6'1""",2,355
Kgaogelo Sekgota,67,"LW,LM,RW",Normal,300,3,3,H \ M,83,65,57,71,27,57,"170cm | 5'7""",1,360
Vukan Savicevic,67,"CDM,CAM",Normal,300,2,3,H \ M,66,63,66,67,61,72,"179cm | 5'10""",0,395
Yimmy Congo,67,"CDM,CM",Libertadores,950,2,2,M \ M,67,56,61,66,64,66,"177cm | 5'10""",0,380
Karlo Brucic,67,"LB,CB,LWB",Normal,300,2,2,M \ M,67,41,54,60,65,70,"183cm | 6'0""",1,357
Adam Gnezda Cerin,67,CM,Normal,300,2,4,M \ M,64,56,66,69,49,61,"180cm | 5'11""",3,365
Adrián Jusino,67,"CB,CDM",Libertadores,900,2,2,M \ M,44,44,49,53,68,79,"185cm | 6'1""",1,337
Adrian Rus,67,"CB,CDM",Normal,350,2,3,M \ H,72,47,54,59,65,73,"183cm | 6'0""",1,370
Florin ?tefan,67,"LB,LWB,LM",Normal,300,3,2,H \ H,78,58,64,64,63,69,"182cm | 6'0""",1,396
Hernesto Caballero,67,CDM,Libertadores,900,2,2,M \ H,53,59,58,64,69,62,"181cm | 5'11""",0,365
Karlo Muhar,67,CDM,Normal,350,2,3,M \ M,65,47,55,58,65,81,"190cm | 6'3""",-1,371
Ricardo Martins Guimarães,67,"CM,CDM,CAM",Normal,300,3,3,M \ H,69,63,62,65,63,70,"181cm | 5'11""",0,392
Jorge Fernando dos Santos Silva,67,"RB,RWB",Normal,300,2,3,M \ M,71,40,59,65,63,63,"183cm | 6'0""",-1,361
Zvonimir Šarlija,67,CB,Normal,300,2,3,L \ H,56,32,49,44,69,68,"189cm | 6'2""",0,318
Thomas Van Den Keybus,67,"CM,LM",Normal,300,2,4,M \ M,69,56,64,70,62,58,"173cm | 5'8""",1,379
Allahyar Sayyadmanesh,67,"ST,RM,LM,CF",Normal,350,3,4,H \ M,84,67,56,69,36,72,"182cm | 6'0""",12,384
Tomás Lago Pontes Esteves,67,"RB,RWB",Normal,300,3,3,H \ M,75,37,59,67,62,63,"180cm | 5'11""",2,363
Manuel Fuster Lázaro,67,"LM,CAM,ST,LW",Normal,300,3,3,M \ M,75,64,62,66,46,47,"169cm | 5'7""",0,360
Marius Marin,67,"CM,RM",Normal,250,2,3,M \ M,73,57,67,66,64,70,"180cm | 5'11""",2,397
Enrico Delprato,67,"RB,RWB,CB,RM",Normal,300,2,3,M \ M,74,45,61,61,62,68,"183cm | 6'0""",1,371
Massimo Bertagnoli,67,CM,Normal,300,2,2,M \ M,68,57,66,67,61,60,"178cm | 5'10""",0,379
Enmanuel Páucar,67,CDM,Sudamericana,1.1K,2,3,M \ H,69,60,63,57,64,71,"177cm | 5'10""",0,384
Mothobi Mvala,67,"CDM,CM",Normal,300,2,3,M \ M,65,39,58,61,66,68,"176cm | 5'9""",0,357
Jonathan Borja,67,"CAM,LM",Libertadores,8.6K,3,4,H \ L,76,64,64,70,35,58,"178cm | 5'10""",0,367
Jean-Pierre Archimbaud,67,CDM,Sudamericana,850,2,3,M \ H,61,44,59,62,66,72,"181cm | 5'11""",1,364
José Carabalí,67,"LB,LWB,CM,LW",Sudamericana,850,3,3,H \ L,91,56,59,67,59,66,"170cm | 5'7""",2,398
Paulo Estrela Moreira Alves,67,"CM,CDM",Normal,300,3,3,M \ M,53,63,68,68,61,62,"171cm | 5'7""",0,375
Elia Caprile,67,GK,Normal,300,1,3,M \ M,66,67,69,70,48,63,"191cm | 6'3""",6,383
Simen Bolkan Nordli,67,"LM,LW",Normal,500,3,3,H \ M,69,62,66,67,49,64,"181cm | 5'11""",0,377
Koki Saito,67,"ST,LM,CF",Normal,700,3,4,M \ M,77,66,61,73,24,57,"170cm | 5'7""",1,358
William Pacho,67,CB,Normal,350,2,2,L \ M,80,32,50,56,65,73,"186cm | 6'1""",10,356
Muteb Al Harbi,67,"LB,LWB",Normal,1.3K,2,3,H \ M,86,50,61,68,59,60,"177cm | 5'10""",2,384
Niklas Hedl,67,GK,Normal,350,1,1,M \ M,72,64,63,71,29,61,"188cm | 6'2""",3,360
Nuno Miguel Oliveira Borges,67,CDM,Normal,500,2,2,M \ M,53,47,60,65,65,70,"184cm | 6'0""",0,360
Pablo López,67,"CAM,CF",Sudamericana,850,4,3,H \ L,70,64,65,72,37,57,"169cm | 5'7""",0,365
Andrea D'Errico,67,"CM,CAM",Normal,950,3,3,M \ M,63,43,67,69,59,54,"171cm | 5'7""",1,355
Sambou Soumano,67,"ST,CF",Normal,550,2,3,M \ M,70,66,50,68,25,51,"182cm | 6'0""",0,330
Luka Romero,67,"RW,RM,CAM",Normal,300,3,3,M \ M,75,54,64,72,32,48,"166cm | 5'5""",21,345
Rodrigo Martins Gomes,67,"LM,RW,LW",Normal,300,3,3,H \ M,77,61,58,69,52,51,"175cm | 5'9""",2,368
Ismael Saibari,67,"CAM,RW,LW",Normal,950,4,4,M \ M,76,62,63,70,41,68,"185cm | 6'1""",6,380
Francisco González,67,"LW,LM,RW",Normal,300,3,3,M \ M,80,64,64,71,25,42,"170cm | 5'7""",0,346
Robson Leandro Dos Santos,67,"RB,RWB,CB",Sudamericana,850,2,2,M \ H,78,38,53,44,64,75,"178cm | 5'10""",2,352
Kendrys Silva,67,"RB,RWB,CB,RM",Sudamericana,950,2,3,M \ H,63,49,58,49,66,69,"179cm | 5'10""",4,354
Luciano Ursino,67,"CAM,CM,RW",Libertadores,1.2K,4,3,H \ M,69,62,67,69,52,59,"180cm | 5'11""",0,378
André Fonseca Amaro,67,CB,Normal,300,2,3,M \ M,61,44,52,62,66,71,"186cm | 6'1""",0,356
Wilson Quiñónez,67,GK,Sudamericana,850,1,3,M \ M,65,66,67,65,24,67,"187cm | 6'2""",0,354
Diber Cambindo,67,"ST,CF",Sudamericana,850,2,3,H \ M,69,67,43,65,24,75,"183cm | 6'0""",0,343
Kaine Kesler Hayden,67,"RWB,RB",Normal,800,3,3,H \ M,81,48,58,70,60,56,"175cm | 5'9""",3,373
Aitor Córdoba Querejeta,67,CB,Normal,300,2,3,H \ M,60,36,48,50,67,66,"181cm | 5'11""",1,327
Mohamed Aidara,67,CB,Normal,300,2,2,L \ M,46,31,36,38,68,75,"186cm | 6'1""",-1,294
Jon Ander Olasagasti Imizcoz,67,"CM,CDM",Normal,350,2,3,M \ M,62,61,65,61,64,68,"176cm | 5'9""",1,381
Jon Karrikaburu,67,"ST,CF",Normal,3.2K,3,3,M \ M,71,67,50,66,26,57,"183cm | 6'0""",3,337
Stanko Juric,67,"CDM,CM",Normal,300,2,2,M \ H,64,61,57,64,65,77,"189cm | 6'2""",3,388
Sergio Antonio Da Luz Junior,67,"LM,RM,RW,LW",Normal,300,3,3,H \ M,68,65,63,69,37,63,"180cm | 5'11""",0,365
Nuno Gonçalo Rocha Moreira,67,"LW,LM,RW",Normal,300,3,3,H \ M,71,65,66,70,33,44,"175cm | 5'9""",1,349
Bandile Shandu,67,"RW,RWB,RM",Normal,350,2,3,H \ M,75,63,67,65,53,68,"180cm | 5'11""",0,391
Tomás Romano dos Santos Händel,67,CDM,Normal,300,2,3,M \ M,71,54,64,71,63,63,"180cm | 5'11""",0,386
Milan Makaric,67,"ST,CF",Normal,950,3,4,M \ M,69,66,56,65,23,68,"185cm | 6'1""",1,347
Taylor Gardner-Hickman,67,"RWB,RB,CM",Normal,300,2,3,H \ M,75,56,62,66,62,59,"178cm | 5'10""",2,380
Anderson Cordeiro Costa,67,"RW,RM,LW",Normal,650,3,3,M \ M,78,70,59,70,26,45,"176cm | 5'9""",0,348
Seung Wook Park,67,"RB,RWB,CB",Normal,350,2,3,M \ H,74,38,59,60,63,75,"184cm | 6'0""",0,369
Nilson Angulo,67,"CAM,RM,ST",Normal,350,4,3,M \ M,81,59,60,68,34,53,"182cm | 6'0""",5,355
Muhammed Gümüskaya,67,"LM,RM,CM,LW",Normal,300,3,3,H \ H,74,62,67,69,53,57,"177cm | 5'10""",2,382
Tiago Filipe Alves Araújo,67,"LW,LB,LM",Normal,300,3,3,M \ M,84,62,62,69,41,67,"184cm | 6'0""",4,385
Denilson Valda,67,"RB,RWB,RM",Libertadores,950,3,3,M \ M,75,49,56,65,63,61,"177cm | 5'10""",-1,369
Ilias Akhomach Chakkour,67,"RW,RM",Normal,2.5K,4,4,M \ M,72,63,63,70,21,47,"175cm | 5'9""",14,336
Jamie Bynoe-Gittens,67,"LM,RM,LW",Normal,500,4,3,M \ M,82,58,56,75,24,51,"175cm | 5'9""",154,346
Tomás Lemos Araújo,67,CB,Normal,300,2,2,M \ M,69,29,39,52,66,71,"186cm | 6'1""",0,326
Vahan Bichakhchyan,67,CAM,Normal,350,3,3,M \ M,70,69,65,67,55,57,"172cm | 5'8""",6,383
Gonçalo Oscar Albuquerque Borges,67,"RM,RW",Normal,300,4,3,H \ M,83,53,60,69,26,54,"184cm | 6'0""",3,345
Fortune Bassey,67,"ST,CF",Normal,500,3,3,M \ M,75,68,62,65,21,68,"186cm | 6'1""",1,359
Lóránd Pászka,67,"LB,LWB",Normal,300,2,3,H \ H,80,40,60,63,59,56,"176cm | 5'9""",3,358
Abdul Fatawu Issahaku,67,CAM,Normal,400,4,4,H \ M,82,68,63,73,35,51,"177cm | 5'10""",14,372
Valentín Gómez,67,"CB,LB",Libertadores,950,2,3,M \ M,68,28,53,50,68,67,"181cm | 5'11""",1,334
Kervin Arriaga,67,CDM,Normal,300,2,2,M \ H,59,43,57,61,64,77,"191cm | 6'3""",0,361
Martin Ádám,67,"ST,CF",Normal,300,2,2,M \ M,60,72,47,57,26,73,"191cm | 6'3""",15,335
Dimitrios Stavropoulos,67,CB,Normal,300,2,3,M \ M,57,32,49,46,66,75,"191cm | 6'3""",1,325
Stijn van Gassel,67,GK,Normal,300,1,3,M \ M,67,65,60,69,23,67,"186cm | 6'1""",4,351
Alexsandro de Souza Ribeiro,67,CB,Normal,1.3K,2,3,M \ M,63,30,48,51,65,73,"192cm | 6'4""",4,330
Kryštof Danek,67,"CAM,RM,LM",Normal,300,3,3,M \ M,69,58,66,69,26,49,"182cm | 6'0""",2,337
Rui Jorge Monteiro Mendes,67,"RM,RW",Normal,400,3,4,H \ M,77,66,56,67,29,56,"179cm | 5'10""",0,351
Lautaro Díaz,67,"RW,RM,CF",Libertadores,850,2,3,H \ M,72,69,68,65,26,60,"181cm | 5'11""",1,360
Sérgio Emanuel Conceição,67,"RWB,RB,LWB",Normal,500,2,3,H \ M,73,57,63,64,65,61,"177cm | 5'10""",1,383
Tomi Horvat,67,"CM,CAM",Normal,400,2,3,M \ M,65,67,69,68,49,60,"176cm | 5'9""",-2,378
Franco Israel,67,GK,Normal,300,1,3,M \ M,70,69,66,68,31,69,"190cm | 6'3""",3,373
Diego Gabriel Silva Rosa,67,"CM,CDM",Normal,850,3,3,H \ M,69,49,67,66,59,66,"178cm | 5'10""",1,376
Halid Šabanovic,67,"RB,RWB,RM",Normal,700,2,3,M \ M,69,37,49,61,67,68,"182cm | 6'0""",5,351
Marcos Vinícius Sousa Natividade,67,"LW,LM,RW",Normal,300,2,3,M \ L,85,57,59,71,25,51,"174cm | 5'9""",0,348
Grant Kekana,67,"CB,RB",Normal,300,2,3,M \ M,67,37,52,59,67,73,"179cm | 5'10""",2,355
Ettore Gliozzi,67,"ST,CF",Normal,300,2,3,M \ M,62,68,51,64,35,63,"180cm | 5'11""",1,343
Naci Ünüvar,67,"LW,LM,CAM",Normal,500,4,3,H \ M,69,58,67,72,37,44,"168cm | 5'6""",6,347
Gabriele Ferrarini,67,"RB,RWB",Normal,1K,2,2,H \ H,65,43,57,68,66,58,"180cm | 5'11""",0,357
Isak Hien,67,CB,Normal,450,2,3,M \ M,79,33,42,54,66,74,"191cm | 6'3""",5,348
Elias Achouri,67,"RW,RM",Normal,450,3,3,M \ M,79,62,59,69,28,48,"177cm | 5'10""",0,345
Ruben Providence,67,"LW,LM,RW",Normal,350,3,3,H \ M,83,58,52,77,27,36,"178cm | 5'10""",2,333
Loum Tchaouna,67,"RW,RM,LW",Normal,300,3,3,M \ M,76,60,63,69,37,53,"180cm | 5'11""",2,358
Thomas Lam,67,"CB,CDM",Normal,300,2,4,M \ M,69,56,60,61,65,74,"188cm | 6'2""",3,385
Roberto Fernández Jaén,67,"ST,CAM,CF",Normal,2.6K,3,4,H \ L,69,67,58,69,36,60,"186cm | 6'1""",7,359
Justin Lonwijk,67,"CM,RW",non-rare,300,3,3,H \ M,70,62,62,66,60,74,"189cm | 6'2""",2,394
Rolando Aarons,67,"LW,LWB,LM,RW",non-rare,300,3,3,M \ M,78,62,66,70,39,52,"175cm | 5'9""",0,367
Matthew Longstaff,67,CM,non-rare,450,2,3,M \ M,67,66,67,70,56,64,"171cm | 5'7""",2,390
Victor Jensen,67,"CAM,CM",non-rare,2K,3,4,H \ M,70,58,65,70,53,57,"175cm | 5'9""",2,373
Youba Diarra,67,"CDM,CM",non-rare,300,3,3,M \ M,70,59,63,66,61,74,"178cm | 5'10""",0,393
Mateo Klimowicz,67,"CF,CAM,ST",Rare,4.4K,3,4,M \ L,77,57,63,74,31,47,"179cm | 5'10""",0,349
Nassim Boujellab,67,"CAM,CM,CF",non-rare,300,3,4,M \ M,70,60,62,73,50,53,"182cm | 6'0""",1,368
Jimmy Medranda,67,"LWB,LB,LM",non-rare,300,3,2,M \ M,73,61,62,68,62,66,"173cm | 5'8""",1,392
Alexandru Ma?an,67,"LM,LW",Rare,350,3,3,H \ L,86,56,63,70,35,49,"165cm | 5'5""",-1,359
Andrés Perea,67,"CDM,CM",non-rare,300,2,3,M \ M,72,50,60,65,65,69,"183cm | 6'0""",1,381
Isaak Touré,67,CB,Rare,900,2,3,M \ M,67,30,48,54,63,80,"204cm | 6'8""",8,342
Anton Salétros,67,"CM,CDM",non-rare,300,3,3,M \ M,63,57,69,65,61,69,"183cm | 6'0""",1,384
Thomas Buitink,67,"ST,CAM,CF",non-rare,700,2,3,M \ M,68,66,59,68,30,70,"174cm | 5'9""",0,361
Ruan Gregório Teixeira,67,"RB,RWB",Rare,1.4K,2,2,M \ H,93,31,60,68,57,67,"170cm | 5'7""",2,376
Doneil Henry,67,CB,Rare,400,2,2,M \ H,67,36,50,46,62,86,"188cm | 6'2""",1,347
Jeronimo Cacciabue,67,"CDM,RM,CM",non-rare,650,3,3,M \ M,67,55,64,69,65,62,"173cm | 5'8""",-1,382
Harrinson Mancilla,67,"CDM,CM",non-rare,900,2,3,M \ M,58,34,61,54,62,78,"174cm | 5'9""",0,347
Valentín Burgoa,67,"CAM,LM",Rare,350,3,3,H \ M,80,57,64,73,54,60,"175cm | 5'9""",0,388
Jonás Acevedo,67,"RM,CM,LM,RW",non-rare,300,3,3,H \ L,69,69,63,69,49,54,"172cm | 5'8""",0,373
James Igbekeme,67,"CM,LM",non-rare,300,2,2,M \ M,73,57,66,71,64,74,"170cm | 5'7""",1,405
Jean Carlos Silva Rocha,67,"RM,RW",non-rare,300,3,3,H \ M,84,60,63,64,45,63,"185cm | 6'1""",0,379
Teixeira,67,"LM,CM,CAM,LW",non-rare,300,3,3,H \ M,75,62,62,71,47,58,"174cm | 5'9""",1,375
Matej Rodin,67,CB,Rare,350,2,3,L \ H,46,25,35,42,68,75,"195cm | 6'5""",1,291
Gilbert Koomson,67,"RW,RM",Rare,350,3,3,H \ M,87,61,63,68,39,63,"180cm | 5'11""",1,381
Felipe Martins,67,"CDM,CM",non-rare,300,3,4,L \ M,49,64,69,69,60,69,"170cm | 5'7""",1,380
Franco Sbuttoni,67,CB,non-rare,300,2,2,L \ H,44,31,46,45,66,75,"190cm | 6'3""",0,307
George Hirst,67,"ST,CF",non-rare,300,3,3,H \ M,72,66,50,62,31,73,"191cm | 6'3""",-1,354
Gustavo Canto,67,"CB,LB",non-rare,300,2,3,L \ M,55,40,53,53,68,70,"180cm | 5'11""",0,339
Julián Palacios,67,"RM,CM,RW",non-rare,0,3,3,H \ M,79,59,64,68,53,61,"165cm | 5'5""",0,384
Manuel Insaurralde,67,"CM,RB,CDM",non-rare,300,2,2,M \ M,73,53,65,68,56,66,"176cm | 5'9""",0,381
Simen Bolkan Nordli,67,"LM,LW",non-rare,300,3,3,H \ M,69,62,66,67,49,64,"181cm | 5'11""",0,377
Jakub Bartkowski,67,"RB,RWB",non-rare,300,2,3,M \ M,78,45,59,60,61,68,"181cm | 5'11""",1,371
Manuel Guanini,67,CB,non-rare,300,2,2,M \ M,35,33,44,46,68,74,"191cm | 6'3""",0,300
Vebjørn Hoff,67,CM,non-rare,300,3,3,M \ M,67,54,65,68,64,66,"181cm | 5'11""",0,384
Jeppe Andersen,67,"CM,CDM",Rare,350,3,3,M \ H,71,61,64,67,61,81,"178cm | 5'10""",0,405
Leonardo Heredia,67,"ST,LM,CF",Rare,300,3,4,H \ M,66,66,66,69,35,65,"185cm | 6'1""",0,367
Mike Wunderlich,67,"CAM,CM",non-rare,300,3,3,H \ M,65,68,67,69,35,65,"184cm | 6'0""",1,369
Kévin Boli,67,CB,non-rare,300,2,3,M \ H,66,35,48,47,67,73,"185cm | 6'1""",-1,336
Alejandro Millán Iranzo,67,"ST,CF",non-rare,300,3,3,H \ L,69,69,53,64,35,59,"182cm | 6'0""",1,349
Renzo López,67,"ST,CF",non-rare,300,2,2,M \ L,55,67,49,61,25,76,"192cm | 6'4""",0,333
Jake Forster-Caskey,67,CM,non-rare,300,3,2,H \ M,64,62,66,69,63,67,"178cm | 5'10""",3,391
Euciodálcio Gomes,67,"CM,CDM,CAM",Rare,400,3,2,M \ M,79,66,64,72,57,63,"180cm | 5'11""",1,401
Rubio Rubin,67,"ST,CF",non-rare,300,3,3,H \ M,74,66,61,68,28,66,"180cm | 5'11""",1,363
Bryan Passi,67,CB,non-rare,300,2,3,M \ M,32,39,56,55,66,73,"189cm | 6'2""",0,321
Kaine Kesler Hayden,67,"RWB,RB",non-rare,750,3,3,H \ M,81,48,58,70,60,56,"175cm | 5'9""",0,373
Samet Akaydin,67,CB,non-rare,300,2,2,M \ H,57,35,42,48,68,69,"190cm | 6'3""",1,319
Alex Mighten,67,"LW,LM",non-rare,300,4,2,H \ M,84,55,56,73,27,48,"172cm | 5'8""",0,343
Cyril Ngonge,67,"RM,RW,ST",Rare,900,3,4,H \ L,87,65,55,72,32,63,"179cm | 5'10""",1,374
Clément Diop,67,GK,non-rare,300,1,2,M \ M,72,64,61,66,52,66,"185cm | 6'1""",0,381
Wilfrid Kaptoum,67,"CM,CDM",non-rare,300,3,3,M \ M,56,59,65,71,59,63,"174cm | 5'9""",1,373
Mathías Laborda,67,"CB,RB",Rare,350,2,3,M \ M,70,41,51,58,68,68,"182cm | 6'0""",0,356
Brad Smith,67,"LWB,LB,LM",non-rare,300,2,3,H \ H,82,49,60,65,61,66,"177cm | 5'10""",0,383
Mark McGuinness,67,CB,non-rare,500,3,2,M \ H,54,35,47,56,65,77,"194cm | 6'4""",1,334
Jon Karrikaburu,67,"ST,CF",non-rare,350,3,3,M \ M,71,67,50,66,26,57,"183cm | 6'0""",0,337
Suazo,67,"LB,LWB,CM",Rare,850,3,2,M \ H,69,54,60,68,61,75,"178cm | 5'10""",27,387
Jeronimo Cacciabue,67,"CDM,RM,CM",non-rare,300,3,3,M \ M,67,55,64,69,65,62,"173cm | 5'8""",0,382
Nikita Contini,67,GK,non-rare,300,1,1,M \ M,68,66,61,69,48,64,"190cm | 6'3""",0,376
Matt Macey,67,GK,Rare,350,1,2,M \ M,69,66,64,66,39,66,"201cm | 6'7""",1,370
San Román,67,GK,non-rare,300,1,3,M \ M,66,67,68,67,25,65,"189cm | 6'2""",0,358
Taichi Hara,67,"ST,CF,RW,LW",non-rare,300,2,4,H \ L,67,64,53,63,25,77,"191cm | 6'3""",0,349
Carlos Isaac,67,"RB,RWB,RM",non-rare,300,3,3,H \ M,72,38,52,59,64,68,"184cm | 6'0""",0,353
Jovanny Bolívar,67,"ST,CF",non-rare,300,2,3,H \ M,61,71,56,65,28,62,"175cm | 5'9""",1,343
Giovanni Crociata,67,"CM,CAM",non-rare,300,3,4,M \ M,76,58,68,72,47,59,"174cm | 5'9""",1,380
Musa Juwara,67,"ST,CF,LW",Rare,350,3,3,M \ M,83,65,57,73,30,50,"170cm | 5'7""",2,358
Sambou Soumano,67,"ST,CF",non-rare,300,2,3,M \ M,70,66,50,68,25,51,"182cm | 6'0""",1,330
Stefan Bajic,67,GK,non-rare,300,1,3,M \ M,68,66,65,68,25,64,"191cm | 6'3""",0,356
Michael Schultz,67,CB,non-rare,300,2,3,L \ M,53,26,46,51,66,74,"194cm | 6'4""",0,316
Marco Dulca,67,"CM,CDM",non-rare,300,3,4,M \ M,69,58,63,66,64,77,"184cm | 6'0""",0,397
Jake Mulraney,67,"LM,LWB,RM,LW",Rare,1.4K,3,2,H \ M,88,56,59,68,51,48,"172cm | 5'8""",1,370
Amine Benchaib,67,"CAM,LM",non-rare,350,3,4,H \ M,75,62,61,72,38,59,"181cm | 5'11""",0,367
Bennette,67,"LM,LW",non-rare,300,3,3,H \ M,84,58,60,70,27,46,"175cm | 5'9""",2,345
Amin Sarr,67,"ST,CF",Rare,1.2K,3,3,M \ M,89,67,55,68,24,66,"188cm | 6'2""",2,369
Moritz Jenz,67,CB,non-rare,500,2,3,M \ M,61,29,47,47,67,76,"190cm | 6'3""",17,327
Przemyslaw Wisniewski,67,CB,Rare,450,2,3,M \ M,84,25,45,51,66,78,"194cm | 6'4""",2,349
Alexandre Olliero,67,GK,non-rare,950,1,2,M \ M,68,63,66,70,46,65,"193cm | 6'4""",0,378
Victor Jensen,67,"CAM,CM",non-rare,900,3,4,H \ M,70,58,65,70,53,57,"175cm | 5'9""",0,373
Marco Sangalli Fuentes,67,"RM,RW",non-rare,300,3,3,M \ M,71,70,66,67,53,61,"179cm | 5'10""",1,388
Elias K. Hagen,67,"CM,CDM",non-rare,300,3,3,M \ M,66,55,66,66,61,60,"188cm | 6'2""",0,374
Ki-Jana Hoever,67,"RB,RWB",non-rare,500,2,3,M \ M,72,38,61,64,64,63,"182cm | 6'0""",8,362
Gonçalves Bernardo,67,CM,non-rare,300,3,4,M \ M,72,63,64,72,53,66,"180cm | 5'11""",2,390
Charlie Goode,67,CB,Rare,350,2,2,M \ M,53,32,49,55,66,74,"196cm | 6'5""",-1,329
Petko Hristov,67,CB,non-rare,300,2,3,M \ H,40,31,41,40,68,70,"191cm | 6'3""",0,290
Marcel Mehlem,67,"CM,CDM,CAM",non-rare,300,2,4,M \ M,75,55,62,67,63,74,"176cm | 5'9""",1,396
Luke McNally,67,CB,non-rare,600,2,2,M \ M,51,35,47,56,67,73,"193cm | 6'4""",2,329
Osame Sahraoui,67,"LW,CM,LM",Rare,750,5,3,M \ H,78,51,63,75,44,53,"170cm | 5'7""",2,364
Connor Ronan,67,CM,non-rare,550,3,3,H \ M,72,65,69,70,54,47,"170cm | 5'7""",0,377
Sérgio Emanuel Conceição,67,"RWB,RB,LWB",non-rare,300,2,3,H \ M,73,57,63,64,65,61,"177cm | 5'10""",1,383
Sanasi Sy,67,"LWB,LB,LM",non-rare,300,2,2,M \ M,67,36,55,66,64,55,"174cm | 5'9""",0,343
Carl Johansson,67,CB,non-rare,300,2,2,M \ M,53,27,44,49,67,73,"188cm | 6'2""",0,313
Jimmy Durmaz,67,"CM,LM,CAM",non-rare,300,3,4,M \ M,54,66,73,71,52,60,"180cm | 5'11""",0,376
Gabriele Ferrarini,67,"RB,RWB",non-rare,300,2,2,H \ H,65,43,57,68,66,58,"180cm | 5'11""",0,357
Loïc Bessilé,67,"CB,LB",Rare,350,2,2,M \ H,75,36,52,63,65,72,"183cm | 6'0""",0,363
Francisco Álvarez,67,CB,non-rare,300,2,3,M \ M,62,31,43,48,68,70,"180cm | 5'11""",0,322
Anthony Stewart,67,CB,non-rare,300,2,3,M \ H,53,22,46,52,66,79,"183cm | 6'0""",0,318
Matty Taylor,67,"ST,CF",non-rare,300,3,3,H \ M,68,67,58,67,27,65,"176cm | 5'9""",0,352
Elias Achouri,67,"RW,RM",non-rare,300,3,3,M \ M,79,62,59,69,28,48,"177cm | 5'10""",0,345
Furkan Soyalp,67,"CM,CAM",non-rare,300,3,4,M \ M,70,61,69,70,52,64,"175cm | 5'9""",0,386
Fortune Bassey,67,"ST,CF",non-rare,300,3,3,M \ M,75,68,62,65,21,68,"186cm | 6'1""",0,359
David Goldar,67,CB,non-rare,300,2,3,M \ M,51,41,59,49,65,75,"182cm | 6'0""",0,340
Jordan Smith,67,GK,non-rare,300,1,4,M \ M,65,63,55,73,35,64,"183cm | 6'0""",0,355
Luís Mata,67,"LB,LWB",non-rare,300,2,3,H \ M,74,35,58,64,63,59,"181cm | 5'11""",0,353
Boris Sekulic,67,"RB,RWB,RM",non-rare,300,2,2,M \ H,67,32,60,61,64,68,"188cm | 6'2""",0,352
Gabriel Iancu,67,"RM,CAM,RW,ST",non-rare,300,3,3,H \ M,73,68,67,67,34,64,"186cm | 6'1""",0,373
Mustafa Eskihellaç,67,"RM,LM,RW",Rare,350,3,1,M \ M,86,57,61,68,27,50,"175cm | 5'9""",0,349
